observation_date,NFCI
2012-09-21,-0.47914
2012-09-28,-0.49657
2012-10-05,-0.51133
2012-10-12,-0.51945
2012-10-19,-0.52170
2012-10-26,-0.51815
2012-11-02,-0.51465
2012-11-09,-0.51359
2012-11-16,-0.51638
2012-11-23,-0.52457
2012-11-30,-0.53357
2012-12-07,-0.54327
2012-12-14,-0.55416
2012-12-21,-0.56559
2012-12-28,-0.57791
2013-01-04,-0.59460
2013-01-11,-0.61033
2013-01-18,-0.62222
2013-01-25,-0.62947
2013-02-01,-0.63153
2013-02-08,-0.63046
2013-02-15,-0.63026
2013-02-22,-0.63206
2013-03-01,-0.63494
2013-03-08,-0.64026
2013-03-15,-0.64488
2013-03-22,-0.64763
2013-03-29,-0.65154
2013-04-05,-0.65844
2013-04-12,-0.66960
2013-04-19,-0.68329
2013-04-26,-0.69921
2013-05-03,-0.71182
2013-05-10,-0.71747
2013-05-17,-0.71327
2013-05-24,-0.69881
2013-05-31,-0.67573
2013-06-07,-0.64834
2013-06-14,-0.62174
2013-06-21,-0.60046
2013-06-28,-0.59087
2013-07-05,-0.59300
2013-07-12,-0.60539
2013-07-19,-0.62398
2013-07-26,-0.64158
2013-08-02,-0.65245
2013-08-09,-0.65551
2013-08-16,-0.65144
2013-08-23,-0.64413
2013-08-30,-0.63873
2013-09-06,-0.63794
2013-09-13,-0.64261
2013-09-20,-0.65081
2013-09-27,-0.66131
2013-10-04,-0.67263
2013-10-11,-0.68619
2013-10-18,-0.70205
2013-10-25,-0.71975
2013-11-01,-0.73660
2013-11-08,-0.75163
2013-11-15,-0.76258
2013-11-22,-0.76859
2013-11-29,-0.77134
2013-12-06,-0.77249
2013-12-13,-0.77454
2013-12-20,-0.77707
2013-12-27,-0.77918
2014-01-03,-0.77726
2014-01-10,-0.77292
2014-01-17,-0.76511
2014-01-24,-0.75716
2014-01-31,-0.75208
2014-02-07,-0.75312
2014-02-14,-0.75902
2014-02-21,-0.76659
2014-02-28,-0.77341
2014-03-07,-0.77751
2014-03-14,-0.77806
2014-03-21,-0.77686
2014-03-28,-0.77458
2014-04-04,-0.77367
2014-04-11,-0.77201
2014-04-18,-0.76974
2014-04-25,-0.76797
2014-05-02,-0.76721
2014-05-09,-0.76861
2014-05-16,-0.77288
2014-05-23,-0.78086
2014-05-30,-0.78932
